iter	RMSE
0	3.887515131
1	3.859956078
2	3.828625927
3	3.79623774
4	3.766459979
5	3.735384273
6	3.705562809
7	3.67646608
8	3.645613017
9	3.616148866
10	3.586821779
11	3.559838251
12	3.531876699
13	3.502361066
14	3.476029383
15	3.447158511
16	3.417580713
17	3.389600869
18	3.36258957
19	3.334706542
20	3.309637049
21	3.280607697
22	3.254879258
23	3.232054003
24	3.207606187
25	3.182521922
26	3.160019833
27	3.133237431
28	3.105157556
29	3.080907282
30	3.059031225
31	3.033051711
32	3.007988209
33	2.987303879
34	2.964194708
35	2.941846501
36	2.916922037
37	2.89280082
38	2.872281224
39	2.852057271
40	2.832260336
41	2.808689674
42	2.788356556
43	2.764327924
44	2.74072239
45	2.720200522
46	2.697674587
47	2.678810825
48	2.656150478
49	2.634191267
