iter	Passed	Remaining
0	23	2295
1	51	2511
2	79	2560
3	108	2593
4	135	2565
5	161	2526
6	187	2494
7	214	2461
8	240	2432
9	267	2408
10	294	2384
11	323	2372
12	353	2365
13	382	2350
14	413	2343
15	442	2324
16	474	2315
17	506	2306
18	539	2299
19	566	2267
20	596	2243
21	622	2207
22	660	2211
23	694	2198
24	728	2184
25	756	2152
26	783	2117
27	812	2088
28	843	2066
29	877	2046
30	909	2024
31	944	2006
32	978	1987
33	1014	1968
34	1048	1946
35	1076	1913
36	1106	1884
37	1136	1854
38	1165	1823
39	1195	1793
40	1224	1762
41	1256	1734
42	1287	1706
43	1320	1680
44	1356	1658
45	1391	1633
46	1422	1604
47	1453	1574
48	1484	1545
49	1516	1516
50	1553	1492
51	1586	1464
52	1620	1437
53	1653	1408
54	1686	1379
55	1717	1349
56	1749	1319
57	1785	1293
58	1820	1265
59	1853	1235
60	1886	1206
61	1920	1176
62	1954	1147
63	1988	1118
64	2017	1086
65	2049	1055
66	2083	1026
67	2118	997
68	2154	968
69	2192	939
70	2232	911
71	2267	881
72	2301	851
73	2335	820
74	2369	789
75	2400	758
76	2442	729
77	2478	699
78	2515	668
79	2545	636
80	2577	604
81	2613	573
82	2648	542
83	2687	511
84	2727	481
85	2768	450
86	2808	419
87	2844	387
88	2878	355
89	2910	323
90	2941	290
91	2975	258
92	3007	226
93	3037	193
94	3071	161
95	3102	129
96	3141	97
97	3175	64
98	3206	32
99	3238	0
