predictors;coeff;p_value;aic
sleep-snoring;-1.4497868057886525;0.5091183758259221;1255.8207829280293
motion-ratio;0.2751808890820184;0.35266206549773604;1283.0727042895296
motion-count;0.1768585894373148;0.811188741938377;1294.3645342107652
acceleration-movement-events-00to06;2.2672073980042025;0.3978605179247816;1332.605300054282
step-count;-4.161977643994057;0.06926346657110477;1356.715051432105
acceleration-movement-events-06to12;-1.1700043375891087;0.09080923187351272;1376.3463030026126
acceleration-mean;-0.7220204057726741;0.6067283210529871;1380.4368844453804
sleep-wakeup-count;-0.7804796433917517;0.1794950556452928;1404.1820732482001
heartrate-mean;-1.3764627510097542;0.07052113958673664;1410.0772668386471
acceleration-movement-events-12to18;-0.20265985533780725;0.7038449264641541;1415.2997853455172
sleep-heartrate-mean;-0.19917998298091003;0.5877463068261657;1415.5466640140423
acceleration-std;-0.28001856574078754;0.30698511619984303;1417.3763845244714
sleep-rem;0.3187966655675969;0.2504002863769318;1417.918427873601
acceleration-movement-events-24h;-0.7901910866699553;0.15190993971074893;1419.2153695588784
heartrate-max;0.37473862408582276;0.31797607513936527;1421.4436884644201
sleep-heartrate-min;-0.3589874512714782;0.22429815064238037;1425.1895888911379
acceleration-kurtosis;0.30877565569481374;0.570184206825801;1425.7284987126889
position-duration;0.33591469572514737;0.08697073386192014;1425.8822349954376
motion-max-timestamp;0.06893466638873597;0.7027087111609647;1425.8827963184465
step-max-timestamp;0.12048244214663892;0.5940557670185909;1428.370685307237
step-ratio;0.029145154712627006;0.9056893893078375;1429.9018168314376
heartrate-std;-0.05627760506747685;0.8762859650122802;1434.8885537521219
acceleration-movement-events-18to24;0.07802837316495502;0.8475416148328925;1437.32309420188
acceleration-intradaily-variability;-0.14408704349647813;0.3660037838841066;1438.019421372609
acceleration-sum;-0.32402009006347243;0.331126244923974;1439.1183632668344
education_label;0.29301314745391077;0.8012562948806328;1439.892952726453
sleep-duration-to-wakeup;0.05907191715343115;0.844331887258281;1440.2574927185988
age;-0.34424277389064506;0.6864584850954403;1440.3492995271913
work_part_time;0.6000000000013774;0.5885599289194364;1440.9145489209236
ethnicity_black;0.7500000000008288;0.588001508846475;1441.5023586248685
fracture_hip;-0.42857142857194214;0.600545852054845;1441.8532913714855
ethnicity_south_asian;-0.3529411764706417;0.9999846906667441;1441.8936290876559
fracture_pelvis;0.09999999999975688;0.8806820546529741;1442.8772508849136
sex_male;0.053571428570500436;0.9375358093733346;1443.133587874948
heartrate-min;-0.4740137766309522;0.18747022395730328;1443.2527367259438
fracture_hip_replacement;-0.03749999999919081;0.9420025683127413;1443.494828973982
acceleration-minutes-with-data;0.015775311619285477;0.8918014165851909;1443.5187603854354
position-distance-travelled;-2.64664766809261;0.09105510132227425;1443.6439378185548
sleep-total;-0.16925250665312871;0.3177138690089085;1444.7449929718605
sleep-deep;0.08759015456087275;0.6747118334674951;1444.8839769267354
acceleration-entropy;-0.11105259894065757;0.4512453629451406;1445.366792121782
sleep-duration-to-sleep;-0.03251975670254674;0.7775188167972712;1446.4227605105223
