"predictors";"aic";"p_value";"estimate";"note"
"sleep-snoring";1258,19379848741;0,498539483169389;-1,43860039741121;NA
"motion-ratio";1281,40966763695;0,336312005146656;0,273996604347276;NA
"motion-count";1290,7358681144;0,196208701817861;0,585399322430148;NA
"acceleration-movement-events-00to06";1335,33779667018;0,387011112816677;2,214884868384;NA
"step-count";1358,98757304363;0,0608669887309279;-4,16105546919237;NA
"acceleration-movement-events-06to12";1376,30043352164;0,0805766303694944;-1,17287643657845;NA
"acceleration-mean";1381,84963099046;0,58091180854969;-0,746746271439546;NA
"sleep-wakeup-count";1403,77796992843;0,163707466455083;-0,776386673023869;NA
"heartrate-mean";1410,18346987839;0,0630297290529837;-1,36337181381665;NA
"sleep-heartrate-mean";1414,30061733388;0,572384662805641;-0,201718238883818;NA
"acceleration-movement-events-12to18";1414,83090024034;0,688107708634562;-0,207507526039907;NA
"acceleration-std";1415,53116840707;0,286130258530893;-0,284696403362165;NA
"sleep-rem";1416,06460424336;0,239262464040845;0,315614034749525;NA
"acceleration-movement-events-24h";1418,73473285889;0,140068712981208;-0,786958408878779;NA
"heartrate-max";1420,14332109967;0,307914523742045;0,367152221275897;NA
"position-duration";1422,95509444443;0,0742140146598658;0,325277048924755;NA
"motion-max-timestamp";1423,23167159441;0,693423040692705;0,0688673289503489;NA
"sleep-heartrate-min";1423,45836852312;0,210111004413017;-0,357372694489487;NA
"acceleration-kurtosis";1425,23273047483;0,569061484026984;0,294189857419637;NA
"step-max-timestamp";1426,12356004301;0,58287402606436;0,119620723238945;NA
"step-ratio";1427,82196085178;0,902083791369965;0,0292574788865513;NA
"heartrate-std";1433,5778955024;0,883295209040816;-0,0507354256485865;NA
"acceleration-intradaily-variability";1435,06289280242;0,354635732868027;-0,143164605254688;NA
"acceleration-movement-events-18to24";1436,09695919697;0,832431952032458;0,0800200526898994;NA
"ethnicity_south asian";1437,30746654134;0,186874215320363;-0,352941176470067;NA
"acceleration-sum";1437,63844029535;0,331199229134423;-0,311919561773973;NA
"sleep-duration-to-wakeup";1438,54845108844;0,86290339634474;0,0487835368771016;NA
"acceleration-minutes-with-data";1439,93087831899;0,919194470395399;0,0111426731860449;NA
"age";1440,15491217011;0,706636644021997;-0,279051846083419;NA
"education_label";1440,51142773387;0,747221517412048;0,341032336601349;NA
"work_part_time";1441,37275987595;0,496029849158503;0,599999999999864;NA
"heartrate-min";1441,47545970986;0,289402988226227;-0,362512164296341;NA
"fracture_hip fracture";1441,93301150172;0,543223992992934;-0,428571428571195;NA
"sleep-total";1442,01082957864;0,316603444527488;-0,169453641543884;NA
"ethnicity_black";1442,02743525598;0,403122343278404;0,749999999999307;NA
"position-distance-travelled";1442,05603235912;0,0888803643748601;-2,40990517381037;NA
"acceleration-entropy";1442,38558554557;0,452511055382863;-0,110669509991328;NA
"fracture_pelvis fracture";1442,56787058413;0,855267120670522;0,0999999999996158;NA
"sleep-deep";1442,574521059;0,666952578864089;0,0897249640192268;NA
"sleep-duration-to-sleep";1442,94423868773;0,774919805046647;-0,0328918790359965;NA
"fracture_hip replacement";1442,94573259541;0,938311177572379;-0,0374999999995869;NA
"sex_male";1443,01182375916;0,928296693058245;0,0535714285714619;NA
