predictors;coeff;p_value;aic
heartrate-min;0.3936284867502836;0.610530106187077;1067.72418046593
heartrate-max;-0.9030068734458008;0.08993669144765415;1281.7257802524662
sleep-snoring;3.622211002201674;0.25086539762578147;1300.5592126694896
heartrate-std;-0.7877680938081658;0.2574418744380812;1307.981137251876
heartrate-mean;0.15997979374376917;0.822855923158819;1312.7583599247737
acceleration-movement-events-06to12;0.4933815598406622;0.5469937280298108;1316.0353535502982
step-count;-3.9897533898820265;0.15914532256753058;1321.9772018536028
step-ratio;-0.256541491419818;0.5052150564888738;1327.2362297803588
acceleration-sum;-0.7957691316891998;0.19820825993035052;1335.589533192009
acceleration-movement-events-24h;-0.3834600588356507;0.6203874297488559;1338.8918504783026
acceleration-std;0.1781750648672796;0.6741198492517017;1342.442428142803
acceleration-entropy;-0.1031329013124533;0.7482576350121416;1344.9156027887352
acceleration-movement-events-18to24;-0.9288922328681911;0.11911613005774797;1344.920128565776
acceleration-minutes-with-data;-0.2365638334205157;0.10044892542116722;1348.93660402443
acceleration-mean;1.8921707789470212;0.062165910509286555;1353.3286661100494
sleep-heartrate-mean;0.09522894546415969;0.8386922469661662;1356.3941543597655
acceleration-movement-events-12to18;-0.381233323820798;0.33465165074081205;1363.5183492002484
acceleration-intradaily-variability;0.0958485355362625;0.6278565303315027;1366.3749267655714
motion-ratio;0.3946323087772712;0.049350624501243015;1367.7337684091071
motion-count;3.4808048142803805;0.07407222348430444;1369.6284378267965
step-max-timestamp;-0.1104881193342222;0.5929637018856084;1372.9607769145443
sleep-total;0.6320326335323585;0.11182478453507157;1379.6508344875938
sleep-deep;-0.13289030135676977;0.8301750563428323;1379.6819943374974
sleep-duration-to-sleep;-0.018492868579747187;0.9199360230315735;1381.8963349145588
sleep-duration-to-wakeup;0.040511853633268466;0.8794640054764518;1383.8587552815839
acceleration-movement-events-00to06;0.14857846880660036;0.7122077229967265;1384.001429008947
sleep-rem;0.16873267008007675;0.27493526502995136;1388.059850150929
fracture_hip;-0.9553571428575032;0.04825955657625551;1388.5466029592249
sleep-heartrate-min;-0.09616175896050917;0.7067779260014316;1388.9554067877566
sleep-wakeup-count;0.3156850879858925;0.19732859663311983;1389.4634986079636
ethnicity_south_asian;-1.2500000000001297;0.9999777882629068;1389.6952396662803
education_label;0.9074405320911947;0.2460740586968293;1390.4275604515674
fracture_pelvis;0.4833333333334985;0.31010269324889406;1390.6419706889787
fracture_hip_replacement;0.4624999999998452;0.3654864716648967;1390.6457802225182
ethnicity_black;-0.7656250000002426;0.48457535805066276;1390.7656615678386
sex_male;-0.151785714284878;0.8514667775535668;1391.0211057329907
age;0.560600953136626;0.5585054376959382;1391.0366789437142
work_part_time;0.2833333333341003;0.7414274184215887;1391.6990640998997
position-duration;-0.16988766727842575;0.03901366794809671;1391.8563139528665
acceleration-kurtosis;-0.05941596463947377;0.8029180449256622;1393.3563845643998
position-distance-travelled;-0.018691544902298938;0.9445066794776451;1393.8694381867926
motion-max-timestamp;0.059821102699018934;0.48133480659178796;1395.2006712098867
