predictors;coeff;p_value;aic
sleep-snoring;-15.138623400972124;0.19052459705902539;5128.347360573609
acceleration-movement-events-00to06;18.959365805658607;0.2637851235261132;5187.586327988098
step-count;-15.433905212135514;0.46179461296534186;5189.975607640572
motion-count;7.860363886859314;0.7419169818304958;5206.138691861362
acceleration-movement-events-06to12;-7.961671679878496;0.10585840144023761;5215.927474759991
acceleration-mean;-10.130960874970452;0.28668955989624073;5221.130954349787
motion-ratio;1.1642153620925586;0.482895915653762;5223.713608964588
acceleration-movement-events-12to18;1.1379033691780516;0.8178306153418273;5229.918735330537
sleep-rem;1.9336725680903353;0.36525046485050394;5235.775863414995
acceleration-movement-events-24h;-3.051517310873106;0.5418888475815032;5240.495314387194
sleep-heartrate-mean;-1.3898458552316826;0.5747065851874826;5244.573824826265
heartrate-mean;-4.821717601482199;0.3392250587702994;5248.074735338142
acceleration-std;-1.9815740753779278;0.26657136078219057;5253.282029383197
heartrate-std;-0.9738356716628243;0.6796051809267342;5254.436997800363
step-max-timestamp;1.8261240615835335;0.2171232363659127;5254.76642723777
acceleration-kurtosis;-0.860754847333432;0.7592972746393154;5255.239219484262
sleep-wakeup-count;-5.4771523978438506;0.06426596930593068;5259.0375635548935
heartrate-max;0.5338493073953958;0.7717559292253398;5260.7263387205185
sleep-heartrate-min;-2.091742360073353;0.22726469521239556;5261.4008433790295
acceleration-movement-events-18to24;2.0365039089191592;0.5774173910389158;5266.070900457145
education_label;2.045228880956331;0.8010528404248944;5267.942498028884
motion-max-timestamp;-0.008057765731612035;0.9933961902959089;5267.990241992906
heartrate-min;-2.8667621587351193;0.5467639203280888;5268.477192992596
sleep-duration-to-wakeup;-1.1607685857309038;0.4978188381669303;5268.518821373308
age;-2.3524994927985317;0.7157140994374116;5269.819112249858
position-distance-travelled;-22.913096643149913;0.00204253165184546;5269.993877483823
ethnicity_black;8.250000000024258;0.5425545729747774;5270.789467155801
position-duration;1.0813046325131024;0.2649323948755528;5271.391104284066
fracture_hip;-1.258928571465518;0.8551329903096906;5272.001801160715
work_part_time;3.599999999974876;0.627441254283139;5273.297318342408
ethnicity_south_asian;-2.5588235293974466;0.7602897452171964;5273.437052174221
fracture_pelvis;0.8999999999932323;0.8043558025650093;5273.639343867161
fracture_hip_replacement;-1.9312500000331758;0.5989802648319988;5274.294834858258
sex_male;-0.29464285713808286;0.9540949175068796;5274.632860497748
sleep-deep;1.1438639081108506;0.42545739528450655;5274.725418113365
step-ratio;-0.4185250737604414;0.7049148196124497;5275.206563575199
acceleration-intradaily-variability;-0.5953397415960038;0.5399142262772931;5275.2771806617375
acceleration-sum;-1.0746496919891866;0.44366101488167786;5276.3756355559035
acceleration-minutes-with-data;-0.23056728187385706;0.6534340588926807;5276.442407010327
sleep-total;-0.3602735922980338;0.7501287031560022;5277.119295775707
acceleration-entropy;-0.569791596182666;0.5646213528917025;5277.368190666383
sleep-duration-to-sleep;-0.47482324005840626;0.5400797444007099;5277.671494937956
