"predictors";"aic";"p_value";"estimate";"note"
"sleep-snoring";5137,97342552201;0,178041006242804;-15,0738992675337;NA
"acceleration-movement-events-00to06";5197,9278534308;0,252331046644915;18,5150656135772;NA
"step-count";5200,71674195379;0,447702568071077;-15,338443728517;NA
"motion-count";5217,11990835941;0,768661447119485;6,54524953446559;NA
"acceleration-movement-events-06to12";5223,59577864011;0,0937504301631983;-7,97906737234918;NA
"motion-ratio";5229,40564873136;0,464097822974377;1,16171511840327;NA
"acceleration-mean";5230,23722376552;0,260356154646545;-10,3335804889182;NA
"acceleration-movement-events-12to18";5237,69849974368;0,816401472463268;1,10672024629007;NA
"sleep-rem";5241,9868840874;0,353047962370234;1,91704181174476;NA
"acceleration-movement-events-24h";5248,35684875762;0,522720677033091;-3,0779170460202;NA
"sleep-heartrate-mean";5251,07742307941;0,560577459352231;-1,40286191808405;NA
"heartrate-mean";5255,94642273375;0,325256007469998;-4,76285175792384;NA
"acceleration-std";5259,11749232797;0,241808174903165;-2,02760799836674;NA
"step-max-timestamp";5260,22468636708;0,202654469074916;1,82083470858471;NA
"heartrate-std";5260,83721155445;0,68382333512445;-0,927391967869361;NA
"acceleration-kurtosis";5261,81830774611;0,748406811724608;-0,860876983434209;NA
"sleep-wakeup-count";5265,65486353796;0,0569788212458431;-5,34801095824409;NA
"heartrate-max";5266,53342074134;0,774131404125945;0,509325108882465;NA
"sleep-heartrate-min";5267,1885478806;0,214409341007733;-2,07878616509613;NA
"motion-max-timestamp";5272,61383689206;0,99014369532358;-0,0116170410813103;NA
"acceleration-movement-events-18to24";5273,32873650106;0,575156450073589;1,94476654283712;NA
"sleep-duration-to-wakeup";5274,26400057587;0,505491194856958;-1,08721234765566;NA
"position-duration";5275,76866455424;0,249047546481765;1,00411132806846;NA
"education_label";5276,00403350103;0,674574586523328;3,08005872443829;NA
"age";5276,17617696344;0,766743754753821;1,13589064764428;NA
"position-distance-travelled";5276,18339306753;0,00164156852748487;-22,4765902811562;NA
"heartrate-min";5276,27273970486;0,534391780236503;-2,80344002273462;NA
"ethnicity_south asian";5276,63542813771;0,186886713467474;-2,5588235294189;NA
"ethnicity_black";5279,61036693188;0,343674570943047;8,25000000000671;NA
"acceleration-minutes-with-data";5279,84555265697;0,652910082182895;-0,230146679228802;NA
"acceleration-intradaily-variability";5279,93291157544;0,52796836659377;-0,588729583273729;NA
"step-ratio";5280,08532436294;0,667667898072192;-0,451087384544289;NA
"sleep-deep";5280,20074040454;0,419778170248966;1,1554590391629;NA
"fracture_hip fracture";5280,20425933839;0,8312435539875;-1,25892857144879;NA
"fracture_pelvis fracture";5280,56568072247;0,772313419582301;0,900000000006;NA
"fracture_hip replacement";5281,56325302973;0,576455836409605;-1,93124999998787;NA
"work_part_time";5281,6254534248;0,54281456565719;3,59999999999066;NA
"acceleration-sum";5281,87581979613;0,442808024994242;-1,07608123473821;NA
"sleep-duration-to-sleep";5281,97656386111;0,538694806779348;-0,476022031374812;NA
"sleep-total";5282,17019741575;0,749350758675776;-0,36112556827635;NA
"acceleration-entropy";5282,17059203019;0,565399970991132;-0,568275160809949;NA
"sex_male";5282,51067116237;0,947216296271267;-0,29464285714756;NA
