predictors;coeff;p_value;aic
acceleration-movement-events-12to18;-3.7278323532027673;0.3093624088420946;5392.771833173071
motion-ratio;0.28353841630623905;0.8908540060556036;5399.156621366022
step-count;10.813989651210848;0.3858101286444652;5408.732234407318
acceleration-movement-events-06to12;-1.0021528897107408;0.8462626003154794;5412.238696854336
motion-count;0.2655333411152492;0.9877587453663689;5413.486400980855
acceleration-mean;-12.088179854948269;0.4702352737010045;5414.754467207039
sleep-duration-to-wakeup;-0.5529964364376577;0.8977991933471152;5418.304456470493
heartrate-mean;5.573449753838412;0.28845895638147356;5431.410160951014
acceleration-intradaily-variability;-0.446987726756216;0.7879490885133411;5439.277824657399
heartrate-min;4.78890891553412;0.3087299495914462;5440.179238480247
acceleration-movement-events-18to24;7.100710053145628;0.11978943251093299;5442.423714248775
step-max-timestamp;-0.4834563514204136;0.7829527721969956;5442.548327197738
acceleration-movement-events-24h;-1.2370003391672055;0.7529981025808083;5443.1847783962985
acceleration-std;-2.6059052759503363;0.2450637391595749;5443.711845946368
heartrate-std;2.1782592156392098;0.37579954169392893;5445.13860743506
sleep-heartrate-min;-0.25773109573226294;0.9110807479751397;5456.460517837586
heartrate-max;2.4183769255678462;0.19429032426000686;5459.925693963636
sleep-snoring;2.862581570939921;0.6091648269787073;5461.1134934623415
sleep-heartrate-mean;-1.4946116549248363;0.5113565672774715;5463.9542216028085
acceleration-kurtosis;-5.018170562222013;0.054506283789758324;5466.3278812757
acceleration-movement-events-00to06;0.7659040593334387;0.8399354500211894;5466.578984550215
step-ratio;-0.9383006827962287;0.5139557146389422;5468.051747194978
age;-10.255282178569786;0.2772430882370909;5472.02755540749
work_part_time;11.33333333333987;0.09914577541465894;5472.130979003239
ethnicity_south_asian;-13.735294117655055;0.19279704886424204;5473.083290582445
sleep-deep;2.9631283240169477;0.22386622801975528;5473.127084209097
education_label;-2.087079458657189;0.8004253626008517;5473.276434746925
ethnicity_black;6.92187499999566;0.5565276628530719;5474.67505833632
sleep-duration-to-sleep;-1.5155136645602612;0.0909103341507477;5474.931665425506
fracture_hip;5.178571428547934;0.45473005570687275;5474.94625435095
fracture_pelvis;5.53333333336876;0.5061074463004029;5474.973390406121
motion-max-timestamp;0.2736021738003087;0.7771329033821555;5475.143197003788
sex_male;-3.2589285714285117;0.6451047722233064;5475.349069590297
fracture_hip_replacement;-2.5937500000016738;0.5574478183016962;5475.367861380989
acceleration-sum;-0.7254252192368469;0.6754978013172017;5475.410938060121
sleep-rem;-0.35232773034714915;0.771446448195947;5475.861493714919
position-duration;-0.9653147556993156;0.11708297530036862;5476.15616103578
position-distance-travelled;-0.2730465486497176;0.8973291858270871;5477.3483540737625
sleep-wakeup-count;0.8607379391891595;0.5032456061016195;5478.089651219552
sleep-total;0.5585256125919902;0.6525575423937322;5478.986436346854
acceleration-entropy;-0.6152499701396459;0.5727267088060576;5479.219849620739
acceleration-minutes-with-data;-0.4537598605854608;0.4886531382497449;5479.96302030298
