predictors;coeff;p_value;aic
heartrate-max;-3.7158257116995825;0.04586487138900348;4054.9543232648825
heartrate-min;0.86095707735296;0.6808247467519063;4059.1816212550625
heartrate-mean;0.8961558673949805;0.6563264258310243;4104.712420931859
acceleration-movement-events-06to12;0.4540920628703094;0.8781445982940869;4133.795546063916
heartrate-std;-2.4619939084807063;0.13558929013088822;4146.63224646217
acceleration-std;1.4069672454421172;0.35444996728359734;4147.248186803766
acceleration-movement-events-24h;-1.9194287444841245;0.4140957191525815;4150.407947990256
step-count;-7.182856038604664;0.3605158018214837;4153.933168754789
acceleration-minutes-with-data;-1.1034079914052697;0.028669728478762427;4155.15784146608
acceleration-movement-events-18to24;-4.617173502353944;0.04048529832177247;4155.358294715078
sleep-heartrate-mean;0.13838524161693735;0.9314889289392732;4155.5601289362385
motion-ratio;1.3251645248107486;0.05250655357322464;4157.8393024677125
acceleration-sum;-3.1260196077621814;0.1161202611233107;4158.184247575702
motion-count;8.230427740456864;0.1173422147000274;4158.243312588231
acceleration-mean;2.5209337386894854;0.602210607051221;4158.620826080141
step-ratio;-1.4581374157594698;0.0802702450705412;4161.6559027012845
sleep-snoring;4.059781382274383;0.4823640017868096;4162.051238659753
acceleration-entropy;-0.2640954850259902;0.8109640358568624;4163.35667928846
acceleration-movement-events-12to18;0.2962199916255983;0.842433305651336;4163.646467441609
acceleration-movement-events-00to06;-0.20213549050989965;0.903762790294505;4168.564217956439
acceleration-intradaily-variability;0.40757620397704714;0.5560195264973984;4170.410987288556
sleep-total;2.154666304097244;0.13746108656196623;4172.106613930463
step-max-timestamp;-0.815863177150227;0.22962459865615784;4174.37213470402
sleep-heartrate-min;-0.7566162233797231;0.4885776776903804;4174.406234243295
acceleration-kurtosis;0.5909486698670785;0.6446821330947101;4175.295787172298
sleep-deep;0.6479034374973223;0.6693286835500553;4178.437123009897
motion-max-timestamp;0.1590564685983768;0.788325973815942;4179.57263510179
position-distance-travelled;-2.289944716820475;0.044941373975312976;4179.775002613863
fracture_hip;-3.276785714288792;0.04745581237428872;4179.792081170612
sleep-rem;0.8463032661441224;0.15094932247089038;4179.882132329122
fracture_pelvis;2.0666666666700624;0.13863215731300682;4180.583497807009
sleep-wakeup-count;0.9956925440772662;0.3581152983990919;4180.76797382697
sleep-duration-to-sleep;-0.4066661957011462;0.46533376409769445;4181.272060127915
sex_male;-1.1874999999929927;0.6843002072177615;4181.6963786988035
sleep-duration-to-wakeup;1.0353239701301058;0.260184992335095;4181.930238242272
education_label;2.768575963058999;0.29942754771429286;4181.989060763721
ethnicity_black;-2.6562500000128093;0.47022629540128624;4182.05005195227
age;2.1352633746779492;0.5244891620259272;4182.205491348178
position-duration;-0.46748799816398134;0.22826426435104905;4182.506191736471
fracture_hip_replacement;1.6562500000035068;0.3419530731187269;4182.7454096252995
work_part_time;0.8666666666722006;0.7527515255041184;4183.1857052257865
ethnicity_south_asian;;;
