iter	RMSE
0	8.115695418
1	8.051252903
2	7.982781012
3	7.91512479
4	7.849435047
5	7.789011386
6	7.721810678
7	7.658748038
8	7.59990149
9	7.539514644
10	7.476718321
11	7.417146365
12	7.358420817
13	7.30622283
14	7.24981901
15	7.186564105
16	7.133822901
17	7.075616515
18	7.019571203
19	6.964595754
20	6.908620646
21	6.855657148
22	6.801017329
23	6.748143425
24	6.695114873
25	6.64417439
26	6.596519233
27	6.543842352
28	6.494504387
29	6.447337807
30	6.393789387
31	6.349654737
32	6.296652556
33	6.246624056
34	6.198561271
35	6.147373138
36	6.098761509
37	6.053557399
38	6.006731253
39	5.957576186
40	5.908794229
41	5.859018883
42	5.817186882
43	5.767822009
44	5.727170269
45	5.686958228
46	5.645086714
47	5.599290009
48	5.553021014
49	5.510117986
