predictors;coeff;p_value;aic
acceleration-std;-0.527788223568623;0.24873348095611755;1601.5343412492034
acceleration-mean;-2.96223616147098;0.08928269379730432;1605.3812619455437
motion-ratio;0.1918180757244855;0.5331655501154611;1607.1982628534402
motion-count;0.14663948604138638;0.9642111324191118;1616.3380069506593
acceleration-movement-events-06to12;-0.3714313034464838;0.6585156410322339;1618.122643963643
step-count;0.6070603184791663;0.7612058419997754;1623.3906204036855
acceleration-movement-events-12to18;-0.8405119999445944;0.09219998777539948;1641.6871838053783
heartrate-mean;0.6441661682006474;0.49871035512246353;1648.8922843757903
sleep-duration-to-wakeup;0.09857786742179822;0.8716818781161237;1653.965315768991
acceleration-intradaily-variability;-0.021061111244112488;0.9352147482371976;1654.019267916618
heartrate-max;0.4819699849289332;0.16043107509338117;1655.9224436743907
step-max-timestamp;-0.1044395585218451;0.7191230904191236;1656.4065350537908
acceleration-movement-events-18to24;0.926031123093137;0.22060327065582017;1658.5381467258271
heartrate-min;0.2783639912066621;0.7028354001997852;1664.7211033503659
heartrate-std;0.7667066636397261;0.14314958341996178;1668.4729706674425
sleep-snoring;-0.7243610998352624;0.5493876840416123;1671.9031059955157
acceleration-movement-events-24h;-0.2567311754736323;0.6464101656071253;1674.2851317429283
sleep-heartrate-min;-0.16275901558330227;0.6367741274402605;1674.3283059457967
sleep-heartrate-mean;-0.7760781708612153;0.01581236568634982;1676.8275030538607
acceleration-kurtosis;-0.8220457984066527;0.0925006379953891;1683.4120281719543
step-ratio;-0.19619082306564972;0.4486395670139587;1685.524912826246
acceleration-movement-events-00to06;-0.22481154467175343;0.679107698537837;1686.9085291446756
work_part_time;1.3000000000006116;0.062213625700091466;1689.687984793699
ethnicity_south_asian;-1.5882352941179518;0.9469667831863209;1691.0001233208147
sleep-deep;0.43012999779786903;0.19266595227110273;1691.060570380364
acceleration-minutes-with-data;-0.08786660128432473;0.562284957854323;1692.1751582552247
age;-0.5332714359089666;0.5929798209168906;1692.1966360029505
education_label;-0.45458834453186175;0.6260812434820584;1692.2962197151157
sleep-duration-to-sleep;-0.20360470137999068;0.14315746566451168;1692.562912772994
motion-max-timestamp;0.049867832309660416;0.7407832484418118;1692.9734540702675
acceleration-entropy;-0.09051448382212401;0.6997740389857459;1692.9961136432053
fracture_hip;0.482142857142395;0.5437134457836823;1693.0312389866167
sex_male;-0.48214285714321375;0.5437134308421006;1693.031238986623
ethnicity_black;0.7031249999996493;0.5652584204779569;1693.055868828137
fracture_pelvis;0.500000000000454;0.4940762942224792;1693.731847738925
fracture_hip_replacement;-0.16875000000059764;0.7286402853144733;1694.1193421021248
sleep-rem;0.12237762732907186;0.5307157490410102;1694.2773287155233
position-distance-travelled;-2.178849939154231;0.0681598564436941;1694.7223179480216
sleep-wakeup-count;0.04107559407085429;0.8767107388462088;1695.4775193567125
position-duration;-0.18096904049050866;0.2875179910944275;1695.7248795846797
sleep-total;0.14981885328861222;0.4308591896604521;1696.0554359023452
acceleration-sum;0.0010728806231573064;0.9963990229917792;1696.3139160572198
