"predictors";"aic";"p_value";"estimate";"note"
"acceleration-std";1600,69164131702;0,237715997965654;-0,524341342166906;NA
"motion-ratio";1605,59347520469;0,513389477900653;0,195641653318244;NA
"acceleration-mean";1607,11706664426;0,0809528490156352;-2,88734129509563;NA
"acceleration-movement-events-06to12";1618,48009775332;0,654868977919781;-0,36425151854003;NA
"motion-count";1619,46990839371;0,972546399655866;0,106868426690912;NA
"step-count";1625,34144297861;0,677820582231963;0,747408552530681;NA
"acceleration-movement-events-12to18";1640,91860136937;0,0829440257650402;-0,838932527944128;NA
"heartrate-mean";1649,54245011459;0,483128906641778;0,644279347024698;NA
"acceleration-intradaily-variability";1652,02518433888;0,930585170567662;-0,0219294132762483;NA
"sleep-duration-to-wakeup";1653,78571746714;0,869405356696167;0,0963676262745929;NA
"heartrate-max";1654,46562647357;0,144353915868472;0,485172109437652;NA
"step-max-timestamp";1654,64224074378;0,714929257957231;-0,102639579350554;NA
"acceleration-movement-events-18to24";1658,62496394288;0,204712382474162;0,927441738528776;NA
"heartrate-min";1664,78662061826;0,695833990087;0,270474953028769;NA
"heartrate-std";1667,72709996052;0,123068138563117;0,771273233718696;NA
"sleep-heartrate-min";1672,9188652385;0,616273790820023;-0,166027865235716;NA
"sleep-snoring";1672,98503010581;0,551883967917244;-0,6790391702382;NA
"acceleration-movement-events-24h";1673,83398816976;0,635049121823586;-0,256936890800945;NA
"sleep-heartrate-mean";1675,03688211471;0,013247500973086;-0,772331788863808;NA
"acceleration-kurtosis";1682,3273214327;0,0782412385758074;-0,797975206743561;NA
"step-ratio";1683,51200283249;0,434981625432026;-0,195161399055875;NA
"acceleration-movement-events-00to06";1686,27859035021;0,684991000259077;-0,203630261679111;NA
"ethnicity_south asian";1686,46649464819;1,01087809244432e-06;-1,58823529411746;NA
"work_part_time";1688,51856992427;0,0188880256983375;1,30000000000011;NA
"acceleration-minutes-with-data";1689,09223357701;0,564487610398679;-0,0831102740677392;NA
"sleep-duration-to-sleep";1689,28253009939;0,141723515385714;-0,203553831564912;NA
"sleep-deep";1689,37258922666;0,178884925342388;0,423810550385605;NA
"motion-max-timestamp";1689,92066794172;0,732519222608527;0,0495722833931171;NA
"acceleration-entropy";1690,8078948624;0,696820879177034;-0,0885132273384339;NA
"sleep-rem";1691,6870652001;0,537971316021061;0,114747255572466;NA
"age";1692,55266256014;0,802612171532645;-0,204922505162923;NA
"position-duration";1692,62918544048;0,299041474636941;-0,165336146027373;NA
"education_label";1692,64306838761;0,595794529073379;-0,449974384404878;NA
"sex_male";1692,96307600681;0,480451805750816;-0,4821428571429;NA
"fracture_hip fracture";1692,96307600683;0,48045177585515;0,482142857142586;NA
"ethnicity_black";1693,27903238169;0,376705662179357;0,703125000000493;NA
"fracture_hip replacement";1693,30060221455;0,712559649357452;-0,168750000000085;NA
"position-distance-travelled";1693,31102489438;0,0626210201206009;-1,99893464519211;NA
"fracture_pelvis fracture";1693,42808984513;0,398566652465809;0,499999999999834;NA
"sleep-wakeup-count";1693,466792234;0,926574036732315;0,0229776888781026;NA
"sleep-total";1693,51156623303;0,429067017915771;0,150294878741445;NA
"acceleration-sum";1694,223578669;0,997676061801293;0,0006920109405868;NA
