"predictors";"aic";"p_value";"estimate";"note"
"heartrate-min";1067,89163310919;0,590405604991441;0,401719514247474;NA
"heartrate-max";1280,95691816123;0,0805989822650021;-0,899396674806279;NA
"sleep-snoring";1303,46073528672;0,237713901307984;3,57534807926383;NA
"heartrate-std";1307,91033495408;0,241388132725023;-0,78636616821366;NA
"heartrate-mean";1312,64702838635;0,818084768023303;0,159404109618761;NA
"acceleration-movement-events-06to12";1316,30995323071;0,534912875746759;0,486657743712986;NA
"step-count";1324,59719726645;0,145688979105958;-3,98831367763079;NA
"step-ratio";1325,96666246656;0,485265356185683;-0,259064604512282;NA
"acceleration-sum";1335,15866363296;0,181523017291097;-0,798950181654137;NA
"acceleration-movement-events-24h";1338,99530116413;0,5921989589392;-0,395501591674339;NA
"acceleration-std";1341,32400047929;0,659055287124337;0,180504824753247;NA
"acceleration-entropy";1343,28231281396;0,736295698374568;-0,105076622575724;NA
"acceleration-movement-events-18to24";1344,41640653834;0,0981738283756732;-0,944571476764817;NA
"acceleration-minutes-with-data";1345,57298452232;0,0910310556338527;-0,23694677162745;NA
"acceleration-mean";1353,72550764853;0,0480322502847468;1,92996133584098;NA
"sleep-heartrate-mean";1355,42222527924;0,83363639394177;0,0950127770386458;NA
"acceleration-movement-events-12to18";1362,32883350885;0,320376342029374;-0,382397556204257;NA
"acceleration-intradaily-variability";1363,71722768982;0,614262336258184;0,0969106408194169;NA
"motion-ratio";1365,0433793785;0,0429974424535592;0,394242547948119;NA
"step-max-timestamp";1370,47950341062;0,577556326826415;-0,111348394748043;NA
"motion-count";1371,13408230298;0,0634617392129769;3,3167500821759;NA
"sleep-total";1378,19099415951;0,102409124542348;0,624450239532691;NA
"sleep-duration-to-sleep";1378,86429072232;0,948418228578074;-0,01137652151118;NA
"sleep-deep";1379,29244920803;0,910736506415326;-0,063407524551739;NA
"sleep-duration-to-wakeup";1381,83767537395;0,877738564863581;0,0394805283807717;NA
"acceleration-movement-events-00to06";1382,69632280427;0,6990615929523;0,142684689049682;NA
"ethnicity_south asian";1384,86589158783;1,94536130455543e-05;-1,25000000000039;NA
"sleep-rem";1384,97939281774;0,25983572103805;0,169376618122903;NA
"sleep-heartrate-min";1386,78623462947;0,704201162579297;-0,0924494517980736;NA
"fracture_hip fracture";1387,04653512551;0,0250594975859805;-0,955357142856891;NA
"sleep-wakeup-count";1387,08678455625;0,191591450554128;0,304354602760236;NA
"position-duration";1387,55121280383;0,038892577893229;-0,169504554079762;NA
"fracture_pelvis fracture";1389,26133003899;0,231277544299983;0,483333333333425;NA
"fracture_hip replacement";1389,74158841383;0,333754942973601;0,46250000000007;NA
"education_label";1390,41016739758;0,224948706232176;0,877995415947826;NA
"ethnicity_black";1390,64468338869;0,283035086959631;-0,76562499999978;NA
"motion-max-timestamp";1390,97450751917;0,48076858532182;0,0598106765668742;NA
"sex_male";1390,98938242923;0,827655017163612;-0,151785714285748;NA
"acceleration-kurtosis";1391,0784269663;0,705355291559023;-0,0843451261014994;NA
"age";1391,59184549899;0,520285824975407;0,579003102561224;NA
"work_part_time";1391,72948274992;0,681049833242984;0,283333333333155;NA
"position-distance-travelled";1391,97916010163;0,946376919604358;-0,0180510284996381;NA
