"predictors";"aic";"p_value";"estimate";"note"
"acceleration-movement-events-12to18";5400,25859021746;0,291266146392364;-3,76047759817417;NA
"motion-ratio";5405,79142146656;0,876021658245702;0,313381856885215;NA
"step-count";5418,83009093964;0,338562687389908;11,2603953631855;NA
"acceleration-movement-events-06to12";5420,66718149428;0,845201154131261;-0,980086802925693;NA
"motion-count";5424,3553833689;0,975899256772515;0,491749771089774;NA
"acceleration-mean";5425,57347258202;0,463810951342651;-11,6557161017403;NA
"sleep-duration-to-wakeup";5426,4636395334;0,888267382377932;-0,583840563062573;NA
"heartrate-mean";5439,84794990225;0,265097398934437;5,61570875104386;NA
"acceleration-intradaily-variability";5445,44430519131;0,781651345758642;-0,447932061149981;NA
"heartrate-min";5448,30643611788;0,28850210731067;4,72250601685026;NA
"step-max-timestamp";5448,83965022693;0,780918327557635;-0,472729546354995;NA
"acceleration-movement-events-18to24";5450,45338072464;0,109872560559714;7,05505098343392;NA
"acceleration-std";5450,47033051069;0,236189099074647;-2,58201243871562;NA
"acceleration-movement-events-24h";5450,87306482597;0,738334066727878;-1,27142527206357;NA
"heartrate-std";5452,00820338538;0,346906258310686;2,20505869026871;NA
"sleep-heartrate-min";5463,27318496882;0,892799773678071;-0,298069456258925;NA
"heartrate-max";5466,23568077461;0,169233593218462;2,46404447121007;NA
"sleep-snoring";5469,55830158074;0,552720540590168;3,06680808022462;NA
"sleep-heartrate-mean";5470,63301206259;0,49622651938569;-1,5028152265513;NA
"acceleration-kurtosis";5472,81105720221;0,0507964274415236;-4,93425104025788;NA
"step-ratio";5473,81839077254;0,496951340117424;-0,938956411632414;NA
"acceleration-movement-events-00to06";5474,21213243978;0,751866670512117;1,06200165091418;NA
"ethnicity_south asian";5476,75051536237;3,0071807133215e-07;-13,735294117646;NA
"sleep-duration-to-sleep";5479,83340735729;0,0899844764252378;-1,51474400553925;NA
"sleep-deep";5479,97870012008;0,216347761067835;2,89365848482313;NA
"education_label";5479,99999694137;0,69842531647276;2,24692566139895;NA
"work_part_time";5480,0988440756;0,0378594638589534;11,3333333333609;NA
"motion-max-timestamp";5480,23635423308;0,772318737722936;0,269918472723039;NA
"position-duration";5480,34521039978;0,116664979827966;-0,964336322188502;NA
"age";5481,06046733872;0,277136011511083;-9,44199853079276;NA
"sleep-rem";5481,32252525476;0,743290827028122;-0,379193847718778;NA
"acceleration-sum";5481,49673972243;0,672748322902005;-0,72726979964787;NA
"fracture_hip replacement";5483,33204146228;0,533522492197615;-2,59374999999543;NA
"fracture_hip fracture";5483,64511810658;0,385810070286056;5,17857142856502;NA
"sleep-wakeup-count";5483,78804044772;0,500706004766336;0,864771332967541;NA
"ethnicity_black";5483,83298565626;0,364789829359696;6,92187499999562;NA
"fracture_pelvis fracture";5483,90114869694;0,40553783114933;5,53333333335142;NA
"position-distance-travelled";5483,99681593102;0,928537820479907;0,186963783988741;NA
"sex_male";5484,15538870709;0,593277213505149;-3,25892857140437;NA
"acceleration-minutes-with-data";5484,16100959198;0,474016161782162;-0,438781131406231;NA
"acceleration-entropy";5484,61047634041;0,57149986150823;-0,616863876345063;NA
"sleep-total";5484,63142458125;0,650924209825338;0,56097435676777;NA
