"predictors";"aic";"p_value";"estimate";"note"
"heartrate-max";4058,73231917342;0,0401936342277637;-3,69832439207513;NA
"heartrate-min";4063,72470887721;0,675723472119949;0,848684550134862;NA
"heartrate-mean";4109,11947737333;0,659636559149142;0,86581021816342;NA
"acceleration-movement-events-06to12";4139,21857541048;0,865010703978868;0,480792688298487;NA
"heartrate-std";4150,62730122641;0,120354727795921;-2,45661183625972;NA
"acceleration-std";4151,06146758216;0,337907934261168;1,40168828928216;NA
"acceleration-movement-events-24h";4155,05898654587;0,39902848627914;-1,91011446089523;NA
"acceleration-minutes-with-data";4156,53946999217;0,0235914180818252;-1,1078562740522;NA
"sleep-heartrate-mean";4159,42021763105;0,93935703609025;0,118357459960525;NA
"acceleration-movement-events-18to24";4159,91306749945;0,0342674198891039;-4,60105634150521;NA
"motion-ratio";4160,02852361074;0,0423158249360857;1,3484887682748;NA
"step-count";4161,03131591241;0,358124633844668;-6,88043727760135;NA
"acceleration-sum";4162,34239227731;0,103246435896502;-3,1165627924397;NA
"step-ratio";4164,17868487966;0,0692386882747985;-1,45740237693343;NA
"motion-count";4164,21655560208;0,10707790106954;7,8505291009281;NA
"acceleration-mean";4164,64768341313;0,534651341947574;2,80450060138822;NA
"acceleration-entropy";4166,62459767292;0,797228546704073;-0,273935614225705;NA
"acceleration-movement-events-12to18";4167,62515403613;0,839642050703692;0,293122170243339;NA
"sleep-snoring";4168,55971739053;0,479117523569907;3,7861249203997;NA
"acceleration-intradaily-variability";4172,58283295656;0,534720184670992;0,416980800611373;NA
"acceleration-movement-events-00to06";4172,65991795031;0,894057537959995;-0,207556546271906;NA
"sleep-total";4175,35405424657;0,145653328586938;2,04189991258583;NA
"step-max-timestamp";4176,74936147226;0,216964305530413;-0,811608137178789;NA
"sleep-heartrate-min";4177,60675932597;0,47021064176355;-0,755909839797404;NA
"acceleration-kurtosis";4178,92964047446;0,65259200287473;0,552339762994038;NA
"ethnicity_south asian";4179,33892242429;3,96754822764898e-08;-6,47058823529482;NA
"motion-max-timestamp";4181,63383567075;0,76790573302025;0,167099943730504;NA
"sleep-rem";4181,81479183104;0,138347983676182;0,841825237169798;NA
"sleep-deep";4182,27695778909;0,540140982285418;0,840789590998102;NA
"sleep-duration-to-sleep";4183,02047596816;0,448657978366137;-0,40927237079083;NA
"position-distance-travelled";4183,19042579534;0,0444616598630463;-2,28637630246396;NA
"fracture_hip fracture";4183,25301262683;0,0250642631654604;-3,27678571428439;NA
"position-duration";4183,53310093627;0,21286095291317;-0,450257319860981;NA
"fracture_pelvis fracture";4183,54551509241;0,0918735446871966;2,06666666665951;NA
"sleep-wakeup-count";4183,81176181714;0,364859453419141;0,9248197170996;NA
"sleep-duration-to-wakeup";4184,79322715073;0,251117033365974;0,9914743710855;NA
"sex_male";4186,6677601096;0,635800075816409;-1,18750000000435;NA
"ethnicity_black";4186,85309600406;0,268176248939483;-2,65624999999794;NA
"fracture_hip replacement";4186,91142399237;0,310906566281086;1,65624999999719;NA
"education_label";4186,93139149704;0,276169507239866;2,64740377583342;NA
"age";4187,76945398336;0,486434901032422;2,19654755815142;NA
"work_part_time";4188,08209798313;0,696388264876008;0,866666666666931;NA
