2026-09-21 14:22:48,078 - Model=XGBoost | Resp=sis | Time=21.40s
2026-09-21 14:23:14,318 - Model=CatBoost | Resp=sis | Time=26.24s
2026-09-21 14:23:26,304 - Model=LightGBM | Resp=sis | Time=11.99s
2026-09-21 14:23:27,395 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.09s
2026-09-21 14:23:29,608 - Model=SVR | Resp=sis | Time=2.21s
2026-09-21 14:23:52,957 - Model=XGBoost | Resp=sis | Time=23.35s
2026-09-21 14:24:16,812 - Model=CatBoost | Resp=sis | Time=23.86s
2026-09-21 14:24:28,797 - Model=LightGBM | Resp=sis | Time=11.98s
2026-09-21 14:24:29,889 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.09s
2026-09-21 14:24:32,102 - Model=SVR | Resp=sis | Time=2.21s
2026-09-21 14:24:55,160 - Model=XGBoost | Resp=sis | Time=23.06s
2026-09-21 14:25:21,638 - Model=CatBoost | Resp=sis | Time=26.48s
2026-09-21 14:25:32,164 - Model=LightGBM | Resp=sis | Time=10.53s
2026-09-21 14:25:33,236 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.07s
2026-09-21 14:25:35,477 - Model=SVR | Resp=sis | Time=2.24s
2026-09-21 14:25:58,650 - Model=XGBoost | Resp=sis | Time=23.17s
2026-09-21 14:26:25,353 - Model=CatBoost | Resp=sis | Time=26.70s
2026-09-21 14:26:37,842 - Model=LightGBM | Resp=sis | Time=12.49s
2026-09-21 14:26:38,922 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.08s
2026-09-21 14:26:41,151 - Model=SVR | Resp=sis | Time=2.23s
2026-09-21 14:27:05,613 - Model=XGBoost | Resp=sis | Time=24.46s
2026-09-21 14:27:29,678 - Model=CatBoost | Resp=sis | Time=24.07s
2026-09-21 14:27:41,423 - Model=LightGBM | Resp=sis | Time=11.74s
2026-09-21 14:27:42,509 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.09s
2026-09-21 14:27:44,742 - Model=SVR | Resp=sis | Time=2.23s
2026-09-21 14:28:07,560 - Model=XGBoost | Resp=sis | Time=22.82s
2026-09-21 14:28:32,118 - Model=CatBoost | Resp=sis | Time=24.56s
2026-09-21 14:28:44,456 - Model=LightGBM | Resp=sis | Time=12.34s
2026-09-21 14:28:45,484 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.03s
2026-09-21 14:28:47,711 - Model=SVR | Resp=sis | Time=2.23s
2026-09-21 14:29:12,772 - Model=XGBoost | Resp=sis | Time=25.06s
2026-09-21 14:29:38,180 - Model=CatBoost | Resp=sis | Time=25.41s
2026-09-21 14:29:50,368 - Model=LightGBM | Resp=sis | Time=12.19s
2026-09-21 14:29:51,454 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.09s
2026-09-21 14:29:53,676 - Model=SVR | Resp=sis | Time=2.22s
2026-09-21 14:30:18,770 - Model=XGBoost | Resp=sis | Time=25.09s
2026-09-21 14:30:44,539 - Model=CatBoost | Resp=sis | Time=25.77s
2026-09-21 14:30:54,958 - Model=LightGBM | Resp=sis | Time=10.42s
2026-09-21 14:30:56,059 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.10s
2026-09-21 14:30:58,335 - Model=SVR | Resp=sis | Time=2.28s
2026-09-21 14:31:20,564 - Model=XGBoost | Resp=sis | Time=22.23s
2026-09-21 14:31:45,688 - Model=CatBoost | Resp=sis | Time=25.12s
2026-09-21 14:31:56,485 - Model=LightGBM | Resp=sis | Time=10.80s
2026-09-21 14:31:57,550 - Model=DecisionTreeRegressor (DT) | Resp=sis | Time=1.06s
2026-09-21 14:31:59,768 - Model=SVR | Resp=sis | Time=2.22s
